sku	mfg	supplier	price	description
0515-ULK0002-0003-1W	Divolight	CDLOG	21.34	Candle Lamp 3W E14 Day White
0515-ULK0001-0003-1WW	Divolight	CDLOG	21.34	Candle Lamp 3W E14 Warm White
0515-ULK0002-0003-1WW	Divolight	CDLOG	21.34	Candle Lamp 3W E14 Warm White
0515-UDM0001-0200-1	Divolight	CDLOG	35.89	Dimmer Switch for LED Lighting
0531-UDL0009-0008-1W	Divolight	CDLOG	161.02	Down Light LED 3" 8W Day White
0531-UDL0001-0004-1W	Divolight	CDLOG	95.06	Down Light LED 3.5'' 4W Day White
0531-UDL0005-0008-1W	Divolight	CDLOG	141.62	Down Light LED 3.5'' 8W Day White
0531-UDL0013-0008-1W	Divolight	CDLOG	141.62	Down Light LED 3.5'' 8W Day White
0531-UDL0006-0010-1W	Divolight	CDLOG	175.57	Down Light LED 4'' 10W Day White
0531-UDL0014-0010-1W	Divolight	CDLOG	175.57	Down Light LED 4'' 10W Day White
0531-UDL0034-0010-1CW	Divolight	CDLOG	166.84	Down Light LED 4'' 10W Cool White
0531-UDL0002-0009-1W	Divolight	CDLOG	141.62	Down Light LED 4'' 9W Day White
0531-UDL0010-0010-1W	Divolight	CDLOG	202.73	Down Light LED 4" 10W Day White
0531-UDL0003-0016-1W	Divolight	CDLOG	235.71	Down Light LED 6'' 16W Day White
0531-UDL0035-0020-1WW	Divolight	CDLOG	247.35	Down Light LED 6'' 20W Warm White
0531-UDL0007-0020-1W	Divolight	CDLOG	258.99	Down Light LED 6'' 20W Day White
0531-UDL0015-0020-1W	Divolight	CDLOG	258.99	Down Light LED 6'' 20W Day White
0531-UDL0035-0020-1W	Divolight	CDLOG	247.35	Down Light LED 6'' 20W Day White
0531-UDL0035-0020-1CW	Divolight	CDLOG	247.35	Down Light LED 6'' 20W Cool White
0531-UDL0011-0020-1W	Divolight	CDLOG	276.45	Down Light LED 6" 20W Day White
0531-UDL0012-0030-1W	Divolight	CDLOG	398.67	Down Light LED 6" 30W Day White
0531-UDL0004-0025-1W	Divolight	CDLOG	322.04	Down Light LED 8'' 25W Day White
0531-UDL0008-0030-1W	Divolight	CDLOG	351.14	Down Light LED 8'' 30W Day White
0531-UDL0016-0030-1W	Divolight	CDLOG	351.14	Down Light LED 8'' 30W Day White
0531-UDL0036-0030-1W	Divolight	CDLOG	339.5	Down Light LED 8'' 30W Day White
0538-UDL0002-0013-1	Divolight	CDLOG	190.12	Down Light Round 13W
0538-UDL0003-0013-1	Divolight	CDLOG	200.79	Down Light Round 13W
0538-UDL0004-0020-1	Divolight	CDLOG	258.99	Down Light Round 20W
0538-UDL0005-0020-1	Divolight	CDLOG	276.45	Down Light Round 20W
